bin_index,bin_from,bin_to,interpolation,interval_type
1,0,0,0,1201
2,1e-06,2e-06,1.5e-06,1201
3,2e-06,3e-06,2.5e-06,1201
4,3e-06,4e-06,3.5e-06,1201
5,4e-06,5e-06,4.5e-06,1201
6,5e-06,6e-06,5.5e-06,1201
7,6e-06,7e-06,6.5e-06,1201
8,7e-06,8e-06,7.5e-06,1201
9,8e-06,9e-06,8.5e-06,1201
10,9e-06,1.1e-05,1e-05,1201
11,1.1e-05,1.2e-05,1.15e-05,1201
12,1.2e-05,1.4e-05,1.3e-05,1201
13,1.4e-05,1.6e-05,1.5e-05,1201
14,1.6e-05,1.9e-05,1.75e-05,1201
15,1.9e-05,2.2e-05,2.05e-05,1201
16,2.2e-05,2.5e-05,2.35e-05,1201
17,2.5e-05,2.8e-05,2.65e-05,1201
18,2.8e-05,3.3e-05,3.05e-05,1201
19,3.3e-05,3.8e-05,3.55e-05,1201
20,3.8e-05,4.3e-05,4.05e-05,1201
21,4.3e-05,5e-05,4.65e-05,1201
22,5e-05,5.7e-05,5.35e-05,1201
23,5.7e-05,6.6e-05,6.15e-05,1201
24,6.6e-05,7.6e-05,7.1e-05,1201
25,7.6e-05,8.7e-05,8.15e-05,1201
26,8.7e-05,1e-04,9.35e-05,1201
27,1e-04,0.000115,0.0001075,1201
28,0.000115,0.000132,0.0001235,1201
29,0.000132,0.000152,0.000142,1201
30,0.000152,0.000175,0.0001635,1201
31,0.000175,0.000201,0.000188,1201
32,0.000201,0.000231,0.000216,1201
33,0.000231,0.000266,0.0002485,1201
34,0.000266,0.000305,0.0002855,1201
35,0.000305,0.000351,0.000328,1201
36,0.000351,0.000404,0.0003775,1201
37,0.000404,0.000464,0.000434,1201
38,0.000464,0.000534,0.000499,1201
39,0.000534,0.000614,0.000574,1201
40,0.000614,0.000705,0.0006595,1201
41,0.000705,0.000811,0.000758,1201
42,0.000811,0.000933,0.000872,1201
43,0.000933,0.001072,0.0010025,1201
44,0.001072,0.001233,0.0011525,1201
45,0.001233,0.001417,0.001325,1201
46,0.001417,0.00163,0.0015235,1201
47,0.00163,0.001874,0.001752,1201
48,0.001874,0.002154,0.002014,1201
49,0.002154,0.002477,0.0023155,1201
50,0.002477,0.002848,0.0026625,1201
51,0.002848,0.003275,0.0030615,1201
52,0.003275,0.003765,0.00352,1201
53,0.003765,0.004329,0.004047,1201
54,0.004329,0.004977,0.004653,1201
55,0.004977,0.005722,0.0053495,1201
56,0.005722,0.006579,0.0061505,1201
57,0.006579,0.007565,0.007072,1201
58,0.007565,0.008697,0.008131,1201
59,0.008697,0.01,0.0093485,1201
60,0.01,0.011498,0.010749,1201
61,0.011498,0.013219,0.0123585,1201
62,0.013219,0.015199,0.014209,1201
63,0.015199,0.017475,0.016337,1201
64,0.017475,0.020092,0.0187835,1201
65,0.020092,0.023101,0.0215965,1201
66,0.023101,0.026561,0.024831,1201
67,0.026561,0.030539,0.02855,1201
68,0.030539,0.035112,0.0328255,1201
69,0.035112,0.04037,0.037741,1201
70,0.04037,0.046416,0.043393,1201
71,0.046416,0.053367,0.0498915,1201
72,0.053367,0.061359,0.057363,1201
73,0.061359,0.070548,0.0659535,1201
74,0.070548,0.08,0.075274,1201
75,0.08,0.09,0.085,1201
76,0.09,0.1,0.095,1201
77,0.1,0.11,0.105,1201
78,0.11,0.12,0.115,1201
79,0.12,0.13,0.125,1201
80,0.13,0.14,0.135,1201
81,0.14,0.15,0.145,1201
82,0.15,0.16,0.155,1201
83,0.16,0.17,0.165,1201
84,0.17,0.18,0.175,1201
85,0.18,0.19,0.185,1201
86,0.19,0.2,0.195,1201
87,0.2,0.21,0.205,1201
88,0.21,0.22,0.215,1201
89,0.22,0.23,0.225,1201
90,0.23,0.24,0.235,1201
91,0.24,0.25,0.245,1201
92,0.25,0.26,0.255,1201
93,0.26,0.27,0.265,1201
94,0.27,0.28,0.275,1201
95,0.28,0.29,0.285,1201
96,0.29,0.3,0.295,1201
97,0.3,0.31,0.305,1201
98,0.31,0.32,0.315,1201
99,0.32,0.33,0.325,1201
100,0.33,0.34,0.335,1201
101,0.34,0.35,0.345,1201
102,0.35,0.36,0.355,1201
103,0.36,0.37,0.365,1201
104,0.37,0.38,0.375,1201
105,0.38,0.39,0.385,1201
106,0.39,0.4,0.395,1201
107,0.4,0.41,0.405,1201
108,0.41,0.42,0.415,1201
109,0.42,0.43,0.425,1201
110,0.43,0.44,0.435,1201
111,0.44,0.45,0.445,1201
112,0.45,0.46,0.455,1201
113,0.46,0.47,0.465,1201
114,0.47,0.48,0.475,1201
115,0.48,0.49,0.485,1201
116,0.49,0.5,0.495,1201
117,0.5,0.51,0.505,1201
118,0.51,0.52,0.515,1201
119,0.52,0.53,0.525,1201
120,0.53,0.54,0.535,1201
121,0.54,0.55,0.545,1201
122,0.55,0.56,0.555,1201
123,0.56,0.57,0.565,1201
124,0.57,0.58,0.575,1201
125,0.58,0.59,0.585,1201
126,0.59,0.6,0.595,1201
127,0.6,0.61,0.605,1201
128,0.61,0.62,0.615,1201
129,0.62,0.63,0.625,1201
130,0.63,0.64,0.635,1201
131,0.64,0.65,0.645,1201
132,0.65,0.66,0.655,1201
133,0.66,0.67,0.665,1201
134,0.67,0.68,0.675,1201
135,0.68,0.69,0.685,1201
136,0.69,0.7,0.695,1201
137,0.7,0.71,0.705,1201
138,0.71,0.72,0.715,1201
139,0.72,0.73,0.725,1201
140,0.73,0.74,0.735,1201
141,0.74,0.75,0.745,1201
142,0.75,0.76,0.755,1201
143,0.76,0.77,0.765,1201
144,0.77,0.78,0.775,1201
145,0.78,0.79,0.785,1201
146,0.79,0.8,0.795,1201
147,0.8,0.81,0.805,1201
148,0.81,0.82,0.815,1201
149,0.82,0.83,0.825,1201
150,0.83,0.84,0.835,1201
151,0.84,0.85,0.845,1201
152,0.85,0.86,0.855,1201
153,0.86,0.87,0.865,1201
154,0.87,0.88,0.875,1201
155,0.88,0.89,0.885,1201
156,0.89,0.9,0.895,1201
157,0.9,0.91,0.905,1201
158,0.91,0.92,0.915,1201
159,0.92,0.93,0.925,1201
160,0.93,0.94,0.935,1201
161,0.94,0.95,0.945,1201
162,0.95,0.96,0.955,1201
163,0.96,0.97,0.965,1201
164,0.97,0.98,0.975,1201
165,0.98,0.99,0.985,1201
166,0.99,1,0.995,1201
